,addr:housenumber,addr:postcode,addr:street,roof_area,roof_location_latitude,roof_location_longitude,irradiance,power
97414,17,28201,Diestelmeiersweg,13.944557666778564,53.0583458,8.804603199999999,1165.0,1624.5409681797028
76266,42,28201,Kleiner Marienweg,14.086859367787838,53.06280331589807,8.815748269197723,1165.0,1641.1191163472831
68481,28,28279,Adelenplatz,14.09539652056992,53.060477350000006,8.836800199999999,1165.0,1642.1136946463955
74949,85,28201,Strandweg,14.139632867649198,53.06272830122941,8.835216984370152,1165.0,1647.2672290811315
96886,43,28201,Langeweg,14.18964440561831,53.05653575,8.8052582,1166.0,1654.512537695095
68238,26,28279,Frühlingsweg,14.27839557826519,53.05759665,8.8535662,1165.0,1663.4330848678946
97395,52,28201,Roseneck,14.366815067827702,53.053541550000006,8.8040242,1166.0,1675.17063690871
97214,17,28201,Kahrsweg,14.36987203732133,53.0553664,8.800607549999999,1166.0,1675.5270795516672
97422,30,28201,Diestelmeiersweg,14.43307675421238,53.05812001504687,8.804716382162093,1165.0,1681.4534418657422
90730,317,28277,Kattenturmer Heerstraße,14.435093708336352,53.03285544999999,8.809277250000001,1168.0,1686.0189451336862
75900,3,28201,Fernandenweg,14.485040795058012,53.06255551463831,8.830128628953142,1165.0,1687.5072526242584
71568,28,28215,Ahnewehrweg,14.643853801302612,53.103022427267696,8.822463182822123,1158.0,1695.7582701908425
43424,211,28207,Alter Postweg,14.604608150199056,53.06255154753516,8.876940905040366,1165.0,1701.43684949819
79395,35,28201,Ritaweg,14.64987026900053,53.0634543,8.8281505,1165.0,1706.7098863385618
76324,98,28201,Großer Marienweg,14.676759269088508,53.0641848504261,8.818876016817002,1165.0,1709.842454848811
103628,5,28327,Tagpfauenaugeweg,14.76504393457435,53.079354267839335,8.907278534812438,1165.0,1720.127618377912
103597,18,28327,Nachtpfauenaugeweg,14.774112032842822,53.079989258861694,8.908789174705355,1165.0,1721.1840518261888
74072,2,28201,Erikaweg,14.81882176734507,53.05973714502476,8.828279371677537,1165.0,1726.3927358957008
103590,2,28327,Nachtpfauenaugeweg,14.852344641811214,53.079985424669744,8.906685366762153,1165.0,1730.2981507710065
74115,12,28201,Klaraweg,14.949011769145727,53.060213421186354,8.830629227936424,1165.0,1741.5598711054772
107354,35,28219,Tulpenweg,15.132165625793276,53.107902996157,8.787057224914136,1157.0,1750.7915629042825
76269,45,28201,Kleiner Marienweg,15.036047657951713,53.06263255387561,8.815613568707322,1165.0,1751.6995521513743
97412,39,28201,Dreiersweg,15.042554840445518,53.05731179906828,8.803489083194526,1165.0,1752.457638911903
76214,19,28201,Sielgrabenweg,15.064592398703098,53.06136679999999,8.835323649999998,1165.0,1755.025014448911
97219,7,28201,Kahrsweg,15.059135230258107,53.05594895,8.802042249999998,1166.0,1755.8951678480953
97002,28,28277,Schneewittchenweg,15.051965774968266,53.0430502,8.80608195,1168.0,1758.0696025162936
97132,1,28277,Däumlingweg,15.062628038227558,53.0422747,8.806653549999998,1168.0,1759.314954864979
97074,11,28277,Frau-Holle-Weg,15.10647707618773,53.04008044757889,8.804582869441953,1168.0,1764.4365224987268
68246,8,28279,Feldweg,15.166542457416654,53.05702233339533,8.852867167066158,1165.0,1766.90219628904
96878,29,28201,Dannhausenweg,15.160661589354277,53.05499169676594,8.80395528384497,1166.0,1767.7331413187087
68212,24,28279,Feldweg,15.245212189853191,53.05798789709275,8.853152529442339,1165.0,1776.0672201178968
96925,25,28277,Dornröschenweg,15.223569659516215,53.0437033,8.807877850000002,1168.0,1778.112936231494
68512,3a,28279,Veraweg,15.34753741323948,53.05832429999999,8.843406049999999,1165.0,1787.9881086423993
103623,10,28327,Tagpfauenaugeweg,15.406483823200688,53.07958830000001,8.908237850000003,1165.0,1794.85536540288
97046,10,28277,Aschenputtelweg,15.469447262585163,53.0418656521663,8.805389481016245,1168.0,1806.831440269947
68785,46,28207,Im Suhrfelde I,15.529089108109474,53.0628858,8.851910850000001,1165.0,1809.1388810947535
76289,18,28201,Kleiner Marienweg,15.646869903430344,53.0631473,8.8183302,1165.0,1822.860343749635
75860,105,28201,Auf den Bleichen,15.651779051870108,53.063509116737,8.83076285075737,1165.0,1823.4322595428675
85828,25,28307,Hasenpromenade,15.625456679612398,53.04758940192074,8.913465581921757,1168.0,1825.053340178728
80486,12,28201,Bellstedtweg,15.668502531945704,53.05818215000001,8.8078922,1165.0,1825.380544971675
97039,37,28277,Aschenputtelweg,15.632393827661872,53.03976074706296,8.803530220124918,1168.0,1825.8635990709067
19542,273,28719,Waller Straße,15.867954770103095,53.14892650000001,8.78539335,1151.0,1826.4015940388665
74140,27,28201,Klaraweg,15.706675592809916,53.06079435,8.83136955,1165.0,1829.8277065623552
